BlockSize,Max of IOPS [last],Max of MiB/s [last]
4,60195,235
WRITE,40759,159
2025.07.26 14:10:06.0,40759,159
READ,60195,235
2025.07.26 14:10:13.0,60195,235
64,16355,1022
WRITE,16355,1022
2025.07.26 14:10:17.0,16355,1022
READ,15203,950
2025.07.26 14:10:18.0,15203,950
256,5733,1433
WRITE,5315,1328
2025.07.26 14:10:19.0,5315,1328
READ,5733,1433
2025.07.26 14:10:20.0,5733,1433
1024,2218,2218
WRITE,1436,1436
2025.07.26 14:10:21.0,1436,1436
READ,2218,2218
2025.07.26 14:10:21.0,2218,2218
Grand Total,60195,2218
